TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-05 23:57:34.578,2023-12-05 23:21:52.965,210.00,37.00,135.00,181.00,164.00,193.00,2023-12-05 23:21:46.739,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:39.221,2023-12-05 23:21:57.720,216.00,42.00,132.00,168.00,161.00,182.00,2023-12-05 23:21:51.748,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:39.414,2023-12-05 23:21:57.877,281.00,42.00,135.00,217.00,164.00,208.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:39.608,2023-12-05 23:21:58.038,184.00,40.00,135.00,153.00,164.00,172.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:39.995,2023-12-05 23:21:58.501,290.00,40.00,134.00,221.00,161.00,210.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:40.188,2023-12-05 23:21:58.698,177.00,40.00,135.00,152.00,164.00,174.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:40.382,2023-12-05 23:21:58.957,215.00,40.00,135.00,170.00,166.00,182.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:40.575,2023-12-05 23:21:59.194,289.00,39.00,136.00,210.00,164.00,202.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:40.769,2023-12-05 23:21:59.370,196.00,37.00,136.00,172.00,164.00,189.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:40.962,2023-12-05 23:21:59.538,209.00,37.00,136.00,164.00,163.00,179.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:41.156,2023-12-05 23:21:59.708,267.00,40.00,136.00,192.00,163.00,190.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:41.350,2023-12-05 23:21:59.877,231.00,39.00,133.00,194.00,164.00,198.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:41.543,2023-12-05 23:22:00.052,198.00,39.00,131.00,161.00,164.00,178.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:41.737,2023-12-05 23:22:00.245,234.00,39.00,133.00,172.00,164.00,177.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:41.930,2023-12-05 23:22:00.441,263.00,37.00,136.00,212.00,164.00,206.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:42.124,2023-12-05 23:22:00.632,192.00,37.00,136.00,156.00,163.00,174.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:42.316,2023-12-05 23:22:00.827,216.00,39.00,136.00,167.00,161.00,182.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:42.510,2023-12-05 23:22:01.024,281.00,40.00,135.00,217.00,166.00,208.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:42.703,2023-12-05 23:22:01.213,184.00,42.00,133.00,154.00,164.00,171.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:42.897,2023-12-05 23:22:01.408,216.00,40.00,135.00,171.00,161.00,184.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:43.090,2023-12-05 23:22:01.604,290.00,40.00,134.00,220.00,162.00,211.00,2023-12-05 23:21:56.767,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:43.284,2023-12-05 23:22:01.799,176.00,42.00,133.00,152.00,164.00,175.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:43.477,2023-12-05 23:22:01.991,216.00,39.00,136.00,170.00,161.00,183.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:43.671,2023-12-05 23:22:02.182,287.00,39.00,135.00,211.00,161.00,200.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:43.865,2023-12-05 23:22:02.378,199.00,40.00,135.00,175.00,163.00,188.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:44.058,2023-12-05 23:22:02.572,207.00,37.00,135.00,165.00,164.00,179.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:44.252,2023-12-05 23:22:02.763,265.00,40.00,136.00,192.00,163.00,189.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:44.445,2023-12-05 23:22:02.958,235.00,37.00,136.00,196.00,164.00,199.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:44.639,2023-12-05 23:22:03.154,199.00,40.00,135.00,161.00,164.00,177.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:44.832,2023-12-05 23:22:03.344,231.00,37.00,136.00,171.00,164.00,179.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:45.026,2023-12-05 23:22:03.539,266.00,39.00,134.00,213.00,163.00,206.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:45.218,2023-12-05 23:22:03.731,192.00,37.00,136.00,156.00,163.00,173.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:45.412,2023-12-05 23:22:03.925,215.00,42.00,133.00,168.00,161.00,184.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:45.605,2023-12-05 23:22:04.121,282.00,40.00,135.00,217.00,164.00,208.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:45.799,2023-12-05 23:22:04.313,184.00,42.00,135.00,155.00,164.00,170.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:45.992,2023-12-05 23:22:04.507,214.00,40.00,135.00,171.00,163.00,184.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:46.186,2023-12-05 23:22:04.702,291.00,37.00,136.00,219.00,161.00,210.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:46.379,2023-12-05 23:22:04.893,174.00,39.00,133.00,153.00,163.00,176.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:46.573,2023-12-05 23:22:05.088,214.00,37.00,136.00,170.00,161.00,184.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
2023-12-05 23:57:46.767,2023-12-05 23:22:05.285,286.00,39.00,133.00,209.00,164.00,200.00,2023-12-05 23:22:01.777,0,0,0,0,0,2023-12-05 23:08:47
