TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-05 23:44:27.739,2023-12-05 23:08:45.301,179.00,42.00,140.00,155.00,167.00,173.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:27.933,2023-12-05 23:08:45.494,217.00,44.00,137.00,174.00,167.00,188.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:28.126,2023-12-05 23:08:45.687,294.00,39.00,140.00,222.00,171.00,216.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:28.320,2023-12-05 23:08:45.881,179.00,39.00,137.00,153.00,171.00,176.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:28.513,2023-12-05 23:08:46.075,217.00,44.00,139.00,173.00,170.00,188.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:28.706,2023-12-05 23:08:46.268,295.00,44.00,137.00,223.00,168.00,214.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:28.900,2023-12-05 23:08:46.462,176.00,42.00,137.00,156.00,171.00,179.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:29.093,2023-12-05 23:08:46.656,217.00,41.00,140.00,172.00,170.00,187.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:29.287,2023-12-05 23:08:46.849,298.00,40.00,142.00,221.00,172.00,210.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:29.480,2023-12-05 23:08:47.043,177.00,41.00,142.00,159.00,172.00,182.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:29.674,2023-12-05 23:08:47.237,215.00,39.00,140.00,171.00,167.00,188.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:29.867,2023-12-05 23:08:47.488,297.00,42.00,140.00,219.00,170.00,207.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:30.061,2023-12-05 23:08:47.659,179.00,41.00,140.00,164.00,170.00,185.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:30.254,2023-12-05 23:08:47.849,215.00,43.00,138.00,171.00,167.00,187.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:30.448,2023-12-05 23:08:48.040,294.00,39.00,140.00,214.00,170.00,205.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:30.641,2023-12-05 23:08:48.239,186.00,41.00,139.00,168.00,172.00,186.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:30.835,2023-12-05 23:08:48.437,213.00,44.00,137.00,172.00,171.00,185.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:31.028,2023-12-05 23:08:48.620,289.00,41.00,139.00,212.00,171.00,204.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:31.222,2023-12-05 23:08:48.819,193.00,44.00,137.00,172.00,171.00,190.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:31.415,2023-12-05 23:08:49.010,212.00,42.00,139.00,171.00,169.00,185.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:31.608,2023-12-05 23:08:49.211,284.00,39.00,140.00,210.00,167.00,204.00,,,,,,,2023-12-05 23:08:47
2023-12-05 23:44:44.377,2023-12-05 23:09:01.994,210.00,39.00,137.00,168.00,172.00,183.00,2023-12-05 23:08:50.077,0,0,0,0,0,2023-12-05 23:08:47
