TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 18:04:54.773,2023-12-06 17:54:19.466,195.00,28.00,99.00,152.00,99.00,148.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:04:54.964,2023-12-06 17:54:19.658,196.00,30.00,97.00,145.00,100.00,139.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:04:55.157,2023-12-06 17:54:19.851,256.00,27.00,100.00,187.00,100.00,163.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:04:55.349,2023-12-06 17:54:20.043,184.00,28.00,102.00,139.00,97.00,136.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:04:55.542,2023-12-06 17:54:20.236,199.00,24.00,99.00,149.00,97.00,141.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:04:55.734,2023-12-06 17:54:20.428,234.00,28.00,102.00,178.00,99.00,160.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:04:55.927,2023-12-06 17:54:20.621,185.00,25.00,102.00,140.00,102.00,137.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:04:56.119,2023-12-06 17:54:20.813,234.00,27.00,99.00,166.00,99.00,148.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:04:56.311,2023-12-06 17:54:21.007,190.00,24.00,102.00,146.00,102.00,144.00,,,,,,,2023-12-06 17:54:21
2023-12-06 18:05:09.007,2023-12-06 17:54:34.061,244.00,25.00,100.00,182.00,99.00,162.00,2023-12-06 17:54:24.047,869,27.519683837890625,27158,26.9012451171875,17630,2023-12-06 17:54:21
2023-12-06 18:05:09.200,2023-12-06 17:54:34.458,187.00,28.00,102.00,141.00,100.00,136.00,2023-12-06 17:54:29.065,844,27.645187377929688,27205,27.10418701171875,17763,2023-12-06 17:54:21
2023-12-06 18:05:09.393,2023-12-06 17:54:34.768,213.00,28.00,102.00,151.00,97.00,139.00,2023-12-06 17:54:34.078,830,27.602462768554688,27189,27.3345947265625,17914,2023-12-06 17:54:21
2023-12-06 18:05:09.585,2023-12-06 17:54:35.092,217.00,28.00,102.00,168.00,100.00,153.00,2023-12-06 17:54:34.078,830,27.602462768554688,27189,27.3345947265625,17914,2023-12-06 17:54:21
