TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-07 00:10:05.431,2023-12-06 23:05:19.932,262.00,48.00,144.00,203.00,201.00,226.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:05.625,2023-12-06 23:05:20.125,216.00,45.00,145.00,169.00,203.00,206.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:05.818,2023-12-06 23:05:20.319,247.00,48.00,145.00,182.00,201.00,210.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:06.012,2023-12-06 23:05:20.512,266.00,47.00,143.00,205.00,202.00,228.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:06.205,2023-12-06 23:05:20.706,215.00,47.00,143.00,170.00,201.00,205.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:06.399,2023-12-06 23:05:20.899,243.00,48.00,145.00,179.00,202.00,210.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:06.592,2023-12-06 23:05:21.093,269.00,48.00,144.00,207.00,201.00,229.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:06.786,2023-12-06 23:05:21.287,215.00,45.00,145.00,169.00,204.00,206.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:06.979,2023-12-06 23:05:21.498,238.00,47.00,144.00,180.00,203.00,212.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:07.173,2023-12-06 23:05:21.805,272.00,48.00,144.00,208.00,204.00,230.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:07.366,2023-12-06 23:05:22.174,214.00,0,1,2,3,4,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:07.752,2023-12-06 23:05:22.422,275.00,48.00,144.00,208.00,202.00,229.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:07.946,2023-12-06 23:05:22.663,213.00,47.00,144.00,168.00,203.00,205.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:08.140,2023-12-06 23:05:22.886,234.00,47.00,144.00,178.00,201.00,212.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:08.333,2023-12-06 23:05:23.124,278.00,47.00,143.00,209.00,203.00,229.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:08.527,2023-12-06 23:05:23.338,211.00,48.00,144.00,167.00,202.00,203.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:08.720,2023-12-06 23:05:23.570,233.00,48.00,145.00,179.00,202.00,212.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:08.914,2023-12-06 23:05:23.811,279.00,48.00,145.00,211.00,202.00,230.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:09.107,2023-12-06 23:05:24.040,211.00,47.00,144.00,167.00,201.00,205.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:09.301,2023-12-06 23:05:24.283,233.00,47.00,143.00,179.00,201.00,211.00,,,,,,,2023-12-06 23:05:21
2023-12-07 00:10:09.494,2023-12-06 23:05:24.548,280.00,48.00,144.00,210.00,201.00,229.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:09.688,2023-12-06 23:05:25.081,210.00,45.00,144.00,166.00,201.00,229.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:10.654,2023-12-06 23:05:25.327,282.00,48.00,144.00,211.00,202.00,229.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:10.848,2023-12-06 23:05:25.559,209.00,48.00,144.00,166.00,201.00,203.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:11.042,2023-12-06 23:05:25.789,231.00,47.00,144.00,178.00,202.00,211.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:11.235,2023-12-06 23:05:26.027,284.00,47.00,143.00,211.00,201.00,230.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:11.429,2023-12-06 23:05:26.271,207.00,47.00,144.00,164.00,202.00,202.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:11.622,2023-12-06 23:05:26.521,231.00,47.00,144.00,177.00,203.00,211.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:11.816,2023-12-06 23:05:26.749,285.00,47.00,143.00,213.00,202.00,231.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:12.009,2023-12-06 23:05:26.965,207.00,47.00,143.00,166.00,202.00,202.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:12.203,2023-12-06 23:05:27.216,231.00,47.00,144.00,178.00,202.00,211.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:12.396,2023-12-06 23:05:27.463,286.00,45.00,144.00,212.00,201.00,232.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:12.590,2023-12-06 23:05:27.711,207.00,48.00,144.00,164.00,201.00,202.00,2023-12-06 23:05:24.467,0,0,0,0,0,2023-12-06 23:05:21
2023-12-07 00:10:25.745,2023-12-06 23:05:40.378,245.00,48.00,144.00,180.00,203.00,211.00,2023-12-06 23:05:29.492,0,0,0,0,0,2023-12-06 23:05:21
