TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-07 00:02:47.869,2023-12-06 23:01:40.907,270.00,47.00,143.00,195.00,201.00,217.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:48.062,2023-12-06 23:01:41.100,243.00,48.00,144.00,193.00,202.00,222.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:48.256,2023-12-06 23:01:41.294,220.00,47.00,144.00,172.00,203.00,208.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:48.449,2023-12-06 23:01:41.487,258.00,48.00,145.00,188.00,204.00,214.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:48.643,2023-12-06 23:01:41.681,256.00,47.00,143.00,201.00,203.00,225.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:48.836,2023-12-06 23:01:41.875,217.00,48.00,145.00,170.00,204.00,206.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:49.030,2023-12-06 23:01:42.068,245.00,47.00,145.00,179.00,201.00,210.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:49.223,2023-12-06 23:01:42.262,268.00,47.00,144.00,208.00,202.00,228.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:49.417,2023-12-06 23:01:42.456,214.00,47.00,144.00,168.00,204.00,204.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:02:49.610,2023-12-06 23:01:42.650,234.00,47.00,144.00,178.00,203.00,211.00,,,,,,,2023-12-06 23:01:42
2023-12-07 00:03:02.379,2023-12-06 23:01:55.541,242.00,48.00,144.00,192.00,204.00,222.00,2023-12-06 23:01:45.719,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:02.572,2023-12-06 23:01:55.786,219.00,47.00,143.00,170.00,204.00,209.00,2023-12-06 23:01:50.746,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:07.409,2023-12-06 23:02:00.794,232.00,47.00,144.00,178.00,204.00,212.00,2023-12-06 23:01:55.757,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:08.183,2023-12-06 23:02:01.459,290.00,49.00,145.00,215.00,203.00,234.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:08.376,2023-12-06 23:02:01.690,203.00,47.00,144.00,163.00,203.00,202.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:08.570,2023-12-06 23:02:01.949,231.00,47.00,144.00,179.00,204.00,212.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:08.763,2023-12-06 23:02:02.200,292.00,47.00,143.00,216.00,204.00,234.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:08.957,2023-12-06 23:02:02.425,201.00,48.00,143.00,163.00,204.00,204.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:09.150,2023-12-06 23:02:02.657,231.00,47.00,144.00,178.00,204.00,213.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:09.344,2023-12-06 23:02:02.922,294.00,48.00,144.00,217.00,202.00,232.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:09.538,2023-12-06 23:02:03.187,200.00,48.00,144.00,164.00,204.00,207.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:09.730,2023-12-06 23:02:03.404,232.00,48.00,145.00,178.00,204.00,213.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:09.924,2023-12-06 23:02:03.635,294.00,48.00,144.00,213.00,204.00,228.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:10.117,2023-12-06 23:02:03.888,203.00,48.00,146.00,170.00,203.00,209.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:10.311,2023-12-06 23:02:04.150,229.00,48.00,144.00,177.00,203.00,213.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:10.504,2023-12-06 23:02:04.365,290.00,47.00,144.00,209.00,204.00,226.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:10.698,2023-12-06 23:02:04.603,210.00,47.00,144.00,173.00,203.00,213.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:10.891,2023-12-06 23:02:04.855,229.00,47.00,144.00,175.00,203.00,212.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:11.085,2023-12-06 23:02:05.106,287.00,48.00,145.00,207.00,203.00,226.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:11.278,2023-12-06 23:02:05.334,218.00,48.00,145.00,179.00,204.00,216.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:11.472,2023-12-06 23:02:05.553,228.00,47.00,144.00,176.00,205.00,210.00,2023-12-06 23:02:00.767,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:11.665,2023-12-06 23:02:05.817,281.00,47.00,144.00,205.00,204.00,224.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:11.859,2023-12-06 23:02:06.067,226.00,48.00,144.00,184.00,203.00,219.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:12.052,2023-12-06 23:02:06.301,224.00,47.00,144.00,172.00,204.00,211.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:12.246,2023-12-06 23:02:06.539,275.00,47.00,144.00,200.00,205.00,221.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:12.440,2023-12-06 23:02:06.788,234.00,47.00,143.00,189.00,204.00,220.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:12.632,2023-12-06 23:02:07.042,222.00,47.00,144.00,172.00,204.00,209.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:12.826,2023-12-06 23:02:07.265,269.00,48.00,145.00,194.00,203.00,218.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:13.019,2023-12-06 23:02:07.503,244.00,48.00,144.00,193.00,203.00,223.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:13.213,2023-12-06 23:02:07.755,220.00,49.00,145.00,171.00,204.00,208.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:13.406,2023-12-06 23:02:08.004,261.00,47.00,143.00,190.00,204.00,214.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:13.600,2023-12-06 23:02:08.242,253.00,47.00,144.00,200.00,204.00,224.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:13.793,2023-12-06 23:02:08.461,218.00,48.00,144.00,170.00,204.00,207.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:13.987,2023-12-06 23:02:08.709,252.00,47.00,144.00,184.00,204.00,211.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:14.180,2023-12-06 23:02:08.966,261.00,49.00,144.00,203.00,203.00,228.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:14.374,2023-12-06 23:02:09.195,216.00,48.00,145.00,169.00,205.00,208.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:14.567,2023-12-06 23:02:09.429,245.00,48.00,143.00,179.00,203.00,211.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:14.761,2023-12-06 23:02:09.674,270.00,47.00,143.00,207.00,203.00,230.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:14.954,2023-12-06 23:02:09.927,215.00,47.00,144.00,170.00,203.00,207.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:15.148,2023-12-06 23:02:10.161,236.00,48.00,144.00,179.00,203.00,213.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:15.341,2023-12-06 23:02:10.398,277.00,48.00,145.00,210.00,203.00,232.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:15.534,2023-12-06 23:02:10.640,212.00,48.00,144.00,168.00,204.00,205.00,2023-12-06 23:02:05.777,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:15.728,2023-12-06 23:02:10.905,234.00,47.00,145.00,178.00,203.00,212.00,2023-12-06 23:02:10.787,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:54.034,2023-12-06 23:02:47.286,231.00,49.00,144.00,187.00,204.00,220.00,2023-12-06 23:02:15.792,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:54.228,2023-12-06 23:02:47.622,223.00,47.00,144.00,174.00,204.00,210.00,2023-12-06 23:02:20.812,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:54.421,2023-12-06 23:02:47.868,271.00,47.00,144.00,197.00,203.00,219.00,2023-12-06 23:02:25.827,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:55.001,2023-12-06 23:02:49.839,261.00,47.00,144.00,190.00,205.00,216.00,2023-12-06 23:02:30.850,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:55.195,2023-12-06 23:02:50.072,252.00,47.00,144.00,199.00,204.00,225.00,2023-12-06 23:02:35.914,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:55.388,2023-12-06 23:02:50.305,218.00,48.00,145.00,171.00,204.00,207.00,2023-12-06 23:02:40.957,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:55.582,2023-12-06 23:02:50.568,252.00,49.00,145.00,184.00,204.00,212.00,2023-12-06 23:02:50.297,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:55.775,2023-12-06 23:02:50.819,262.00,49.00,145.00,203.00,204.00,228.00,2023-12-06 23:02:50.297,0,0,0,0,0,2023-12-06 23:01:42
2023-12-07 00:03:55.969,2023-12-06 23:02:51.054,215.00,46.00,144.00,169.00,205.00,207.00,2023-12-06 23:02:50.297,0,0,0,0,0,2023-12-06 23:01:42
