TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-07 00:37:03.626,2023-12-06 23:18:49.431,252.00,48.00,142.00,184.00,199.00,210.00,,,,,,,2023-12-06 23:18:51
2023-12-07 00:37:24.906,2023-12-06 23:19:10.982,285.00,47.00,141.00,211.00,201.00,229.00,2023-12-06 23:18:53.966,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:25.100,2023-12-06 23:19:11.215,206.00,47.00,141.00,164.00,201.00,201.00,2023-12-06 23:18:58.999,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:25.293,2023-12-06 23:19:11.454,232.00,47.00,141.00,178.00,199.00,210.00,2023-12-06 23:19:04.011,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:25.487,2023-12-06 23:19:11.735,289.00,47.00,143.00,4716865,48.00,200.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:26.068,2023-12-06 23:19:12.002,293.00,48.00,143.00,215.00,199.00,229.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:26.261,2023-12-06 23:19:12.254,200.00,47.00,144.00,166.00,199.00,206.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:26.455,2023-12-06 23:19:12.493,230.00,47.00,141.00,176.00,199.00,210.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:26.648,2023-12-06 23:19:12.718,289.00,48.00,143.00,207.00,199.00,224.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:26.842,2023-12-06 23:19:12.958,214.00,47.00,142.00,174.00,200.00,212.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:27.035,2023-12-06 23:19:13.204,226.00,47.00,141.00,175.00,201.00,208.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:27.229,2023-12-06 23:19:13.448,279.00,48.00,144.00,201.00,200.00,220.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:27.421,2023-12-06 23:19:13.677,231.00,47.00,141.00,187.00,200.00,217.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:27.615,2023-12-06 23:19:13.902,221.00,47.00,142.00,171.00,199.00,206.00,2023-12-06 23:19:09.026,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:27.808,2023-12-06 23:19:14.152,265.00,48.00,144.00,193.00,201.00,214.00,2023-12-06 23:19:14.031,0,0,0,0,0,2023-12-06 23:18:51
2023-12-07 00:37:28.002,2023-12-06 23:19:14.400,248.00,47.00,142.00,197.00,200.00,222.00,2023-12-06 23:19:14.031,0,0,0,0,0,2023-12-06 23:18:51
