TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 18:16:26.999,2023-12-06 18:05:52.547,233.00,27.00,104.00,167.00,102.00,151.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:27.192,2023-12-06 18:05:52.813,215.00,25.00,99.00,164.00,103.00,155.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:27.386,2023-12-06 18:05:53.020,189.00,27.00,102.00,143.00,100.00,140.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:27.579,2023-12-06 18:05:53.186,232.00,27.00,99.00,168.00,103.00,150.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:27.772,2023-12-06 18:05:53.364,208.00,26.00,99.00,161.00,101.00,154.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:27.965,2023-12-06 18:05:53.563,194.00,25.00,104.00,142.00,102.00,139.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:28.158,2023-12-06 18:05:53.760,237.00,27.00,104.00,168.00,102.00,154.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:28.351,2023-12-06 18:05:53.897,210.00,26.00,99.00,163.00,99.00,153.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:28.544,2023-12-06 18:05:54.093,196.00,28.00,100.00,146.00,102.00,140.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:28.737,2023-12-06 18:05:54.288,242.00,28.00,102.00,174.00,99.00,154.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:28.931,2023-12-06 18:05:54.483,193.00,28.00,102.00,150.00,102.00,147.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:29.125,2023-12-06 18:05:54.675,197.00,25.00,100.00,144.00,102.00,141.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:29.318,2023-12-06 18:05:54.868,241.00,28.00,102.00,173.00,104.00,155.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:29.511,2023-12-06 18:05:55.062,202.00,28.00,99.00,157.00,103.00,152.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:29.704,2023-12-06 18:05:55.255,195.00,25.00,102.00,143.00,104.00,140.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:29.898,2023-12-06 18:05:55.447,240.00,27.00,100.00,171.00,99.00,154.00,2023-12-06 18:05:50.545,925,27.554397583007812,27171,26.75018310546875,17531,2023-12-06 17:54:21
2023-12-06 18:16:30.090,2023-12-06 18:05:55.648,195.00,25.00,104.00,150.00,99.00,148.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
2023-12-06 18:16:30.284,2023-12-06 18:05:55.834,193.00,28.00,102.00,147.00,100.00,142.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
2023-12-06 18:16:30.477,2023-12-06 18:05:56.029,246.00,25.00,102.00,177.00,104.00,157.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
2023-12-06 18:16:30.670,2023-12-06 18:05:56.225,196.00,27.00,104.00,151.00,101.00,150.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
2023-12-06 18:16:30.863,2023-12-06 18:05:56.415,193.00,28.00,103.00,144.00,103.00,140.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
2023-12-06 18:16:31.057,2023-12-06 18:05:56.611,239.00,28.00,101.00,171.00,102.00,153.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
2023-12-06 18:16:31.250,2023-12-06 18:05:56.806,207.00,25.00,102.00,161.00,104.00,153.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
2023-12-06 18:16:31.444,2023-12-06 18:05:56.997,190.00,28.00,102.00,144.00,102.00,141.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
2023-12-06 18:16:31.637,2023-12-06 18:05:57.192,233.00,27.00,104.00,166.00,102.00,149.00,2023-12-06 18:05:55.555,906,27.484970092773438,27145,26.79290771484375,17559,2023-12-06 17:54:21
