TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-07 00:28:11.490,2023-12-06 23:14:23.169,264.00,47.00,143.00,191.00,202.00,214.00,,,,,,,2023-12-06 23:14:24
2023-12-07 00:28:11.683,2023-12-06 23:14:23.362,251.00,48.00,144.00,197.00,201.00,224.00,,,,,,,2023-12-06 23:14:24
2023-12-07 00:28:11.877,2023-12-06 23:14:23.555,219.00,47.00,143.00,171.00,201.00,206.00,,,,,,,2023-12-06 23:14:24
2023-12-07 00:28:12.070,2023-12-06 23:14:23.749,254.00,48.00,143.00,185.00,202.00,211.00,,,,,,,2023-12-06 23:14:24
2023-12-07 00:28:12.264,2023-12-06 23:14:23.943,260.00,47.00,141.00,202.00,200.00,226.00,,,,,,,2023-12-06 23:14:24
2023-12-07 00:28:12.456,2023-12-06 23:14:24.136,216.00,47.00,143.00,168.00,202.00,205.00,,,,,,,2023-12-06 23:14:24
2023-12-07 00:28:25.226,2023-12-06 23:14:37.020,279.00,48.00,144.00,200.00,201.00,220.00,2023-12-06 23:14:27.852,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:30.062,2023-12-06 23:14:42.079,293.00,47.00,141.00,211.00,202.00,227.00,2023-12-06 23:14:32.882,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:30.836,2023-12-06 23:14:42.750,221.00,47.00,141.00,181.00,201.00,214.00,2023-12-06 23:14:37.896,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:31.030,2023-12-06 23:14:42.983,224.00,47.00,143.00,173.00,200.00,208.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:31.223,2023-12-06 23:14:43.227,275.00,47.00,142.00,199.00,200.00,218.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:31.417,2023-12-06 23:14:43.525,236.00,47.00,143.00,190.00,199.00,219.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:31.610,2023-12-06 23:14:43.836,220.00,47.00,143.00,172.00,201.00,206.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:31.804,2023-12-06 23:14:44.098,263.00,48.00,144.00,191.00,201.00,214.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:31.996,2023-12-06 23:14:44.326,251.00,48.00,144.00,197.00,201.00,223.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:32.190,2023-12-06 23:14:44.569,217.00,48.00,143.00,170.00,200.00,206.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:32.384,2023-12-06 23:14:44.827,249.00,47.00,143.00,182.00,200.00,207.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:32.577,2023-12-06 23:14:45.068,264.00,47.00,143.00,205.00,201.00,226.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:32.771,2023-12-06 23:14:45.292,214.00,45.00,144.00,168.00,201.00,204.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:32.964,2023-12-06 23:14:45.533,234.00,45.00,144.00,177.00,201.00,211.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:33.158,2023-12-06 23:14:45.800,276.00,47.00,142.00,210.00,199.00,228.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:33.351,2023-12-06 23:14:46.034,211.00,48.00,143.00,166.00,201.00,203.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:33.545,2023-12-06 23:14:46.268,233.00,47.00,143.00,177.00,201.00,210.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:33.738,2023-12-06 23:14:46.503,282.00,47.00,142.00,211.00,199.00,229.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:33.932,2023-12-06 23:14:46.757,208.00,48.00,143.00,165.00,199.00,202.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:34.125,2023-12-06 23:14:47.004,232.00,47.00,143.00,178.00,200.00,210.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:34.319,2023-12-06 23:14:47.237,286.00,47.00,144.00,212.00,201.00,230.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:34.512,2023-12-06 23:14:47.462,206.00,47.00,143.00,164.00,199.00,201.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:34.705,2023-12-06 23:14:47.713,231.00,47.00,144.00,178.00,201.00,210.00,2023-12-06 23:14:42.905,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:34.898,2023-12-06 23:14:47.960,289.00,45.00,144.00,213.00,201.00,231.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:35.092,2023-12-06 23:14:48.190,202.00,47.00,141.00,162.00,201.00,200.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:35.286,2023-12-06 23:14:48.427,232.00,47.00,142.00,178.00,199.00,211.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:35.479,2023-12-06 23:14:48.680,293.00,47.00,144.00,215.00,200.00,230.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:35.673,2023-12-06 23:14:48.928,199.00,47.00,143.00,163.00,200.00,206.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:35.866,2023-12-06 23:14:49.160,231.00,47.00,141.00,177.00,202.00,211.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:36.060,2023-12-06 23:14:49.399,292.00,47.00,143.00,211.00,201.00,226.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:36.253,2023-12-06 23:14:49.652,208.00,47.00,143.00,173.00,201.00,210.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:36.447,2023-12-06 23:14:49.900,228.00,47.00,141.00,176.00,201.00,210.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:36.640,2023-12-06 23:14:50.126,284.00,45.00,144.00,205.00,201.00,224.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:36.834,2023-12-06 23:14:50.369,221.00,47.00,143.00,180.00,202.00,215.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:37.027,2023-12-06 23:14:50.624,224.00,47.00,144.00,171.00,200.00,208.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:37.221,2023-12-06 23:14:50.870,277.00,48.00,143.00,199.00,201.00,219.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:37.413,2023-12-06 23:14:51.091,233.00,47.00,143.00,189.00,201.00,218.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:37.607,2023-12-06 23:14:51.319,221.00,48.00,144.00,171.00,201.00,208.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:37.800,2023-12-06 23:14:51.567,266.00,48.00,143.00,192.00,200.00,215.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:37.994,2023-12-06 23:14:51.824,246.00,48.00,143.00,194.00,200.00,223.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:38.188,2023-12-06 23:14:52.049,220.00,47.00,144.00,170.00,201.00,206.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:28:38.381,2023-12-06 23:14:52.283,257.00,48.00,143.00,186.00,202.00,211.00,2023-12-06 23:14:47.917,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:05.273,2023-12-06 23:15:17.127,275.00,48.00,144.00,198.00,200.00,218.00,2023-12-06 23:14:52.927,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:05.467,2023-12-06 23:15:17.229,232.00,48.00,143.00,188.00,200.00,218.00,2023-12-06 23:14:57.937,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:05.659,2023-12-06 23:15:17.389,220.00,47.00,141.00,171.00,200.00,206.00,2023-12-06 23:15:02.949,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:05.853,2023-12-06 23:15:17.583,266.00,47.00,143.00,192.00,201.00,214.00,2023-12-06 23:15:07.962,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:06.046,2023-12-06 23:15:17.777,244.00,47.00,142.00,193.00,200.00,220.00,2023-12-06 23:15:12.977,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:06.240,2023-12-06 23:15:17.970,218.00,47.00,141.00,170.00,200.00,205.00,2023-12-06 23:15:17.998,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:06.434,2023-12-06 23:15:18.164,256.00,47.00,141.00,187.00,200.00,211.00,2023-12-06 23:15:17.998,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:06.627,2023-12-06 23:15:18.357,256.00,48.00,143.00,199.00,199.00,225.00,2023-12-06 23:15:17.998,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:06.821,2023-12-06 23:15:18.551,216.00,47.00,142.00,170.00,199.00,205.00,2023-12-06 23:15:17.998,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:07.014,2023-12-06 23:15:18.745,245.00,47.00,142.00,180.00,199.00,209.00,2023-12-06 23:15:17.998,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:07.208,2023-12-06 23:15:18.938,268.00,47.00,143.00,206.00,199.00,227.00,2023-12-06 23:15:17.998,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:07.401,2023-12-06 23:15:19.132,214.00,47.00,141.00,168.00,200.00,204.00,2023-12-06 23:15:17.998,0,0,0,0,0,2023-12-06 23:14:24
2023-12-07 00:29:07.595,2023-12-06 23:15:19.326,234.00,49.00,142.00,178.00,198.00,210.00,2023-12-06 23:15:17.998,0,0,0,0,0,2023-12-06 23:14:24
