MQSensor,PropName,PropValue,T,RH,ppm_ref,RH0_ref,T0_ref,comment
MQ2,RL,1.11,15,60,1000,65,20,used value for get inital reistance ratio
MQ2,RL,1.08,20,60,1000,65,20,used value for get inital reistance ratio
MQ2,RL,1,25,60,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.99,30,60,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.94,35,60,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.86,40,60,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.79,45,60,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.72,50,60,1000,65,20,used value for get inital reistance ratio
MQ2,RL,1.26,-10,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,1.2,-5,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,1.18,0,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,1.1,5,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,1.07,10,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.97,15,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.92,20,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.88,25,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.87,30,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.81,35,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.73,40,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.69,45,85,1000,65,20,used value for get inital reistance ratio
MQ2,RL,0.62,50,85,1000,65,20,used value for get inital reistance ratio
MQ4,RL_hyp,1.38,-10,0,1000,33,20,hypothetical value for obtaining value < 33 RH 
MQ4,RL_hyp,1.19,4,0,1000,33,20,hypothetical value for obtaining value < 33 RH 
MQ4,RL_hyp,1.11,20,0,1000,33,20,hypothetical value for obtaining value < 33 RH 
MQ4,RL_hyp,0.99,50,0,1000,33,20,hypothetical value for obtaining value < 33 RH 
MQ4,RL_hyp,0.92,-10,137,1000,33,20,hypothetical value for obtaining value > 65
MQ4,RL_hyp,0.78,4,137,1000,33,20,hypothetical value for obtaining value > 65
MQ4,RL_hyp,0.7,20,137,1000,33,20,hypothetical value for obtaining value > 65
MQ4,RL_hyp,0.55,50,137,1000,33,20,hypothetical value for obtaining value > 65
MQ7,RL_hyp,1.6,-10,0,100,33,20,hypothetical value for obtaining value < 33 RH
MQ7,RL_hyp,1.21,4,0,100,33,20,hypothetical value for obtaining value < 33 RH
MQ7,RL_hyp,1.08,20,0,100,33,20,hypothetical value for obtaining value < 33 RH
MQ7,RL_hyp,0.9,50,0,100,33,20,hypothetical value for obtaining value < 33 RH
MQ7,RL_hyp,0.93,-10,137,100,33,20,hypothetical value for obtaining value > 65
MQ7,RL_hyp,0.83,4,137,100,33,20,hypothetical value for obtaining value > 65
MQ7,RL_hyp,0.75,20,137,100,33,20,hypothetical value for obtaining value > 65
MQ7,RL_hyp,0.68,50,137,100,33,20,hypothetical value for obtaining value > 65
MQ5,RL_hyp,1.53,-10,0,1000,33,20,hypothetical value for obtaining value < 33 RH
MQ5,RL_hyp,1.2,4,0,1000,33,20,hypothetical value for obtaining value < 33 RH
MQ5,RL_hyp,1.09,20,0,1000,33,20,hypothetical value for obtaining value < 33 RH
MQ5,RL_hyp,0.91,50,0,1000,33,20,hypothetical value for obtaining value < 33 RH
MQ5,RL_hyp,0.85,-10,137,1000,33,20,hypothetical value for obtaining value > 65
MQ5,RL_hyp,0.8,4,137,1000,33,20,hypothetical value for obtaining value > 65
MQ5,RL_hyp,0.68,20,137,1000,33,20,hypothetical value for obtaining value > 65
MQ5,RL_hyp,0.58,50,137,1000,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,1.73,-10,0,,33,20,hypothetical value for obtaining value < 33 RH
