TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 18:30:35.011,2023-12-06 18:20:01.291,192.00,28.00,102.00,151.00,103.00,149.00,2023-12-06 18:19:57.355,826,28.718643188476562,27607,24.64447021484375,16151,2023-12-06 17:54:21
2023-12-06 18:30:35.205,2023-12-06 18:20:01.479,195.00,28.00,104.00,143.00,103.00,142.00,2023-12-06 18:19:57.355,826,28.718643188476562,27607,24.64447021484375,16151,2023-12-06 17:54:21
2023-12-06 18:30:35.398,2023-12-06 18:20:01.668,240.00,30.00,99.00,172.00,104.00,155.00,2023-12-06 18:19:57.355,826,28.718643188476562,27607,24.64447021484375,16151,2023-12-06 17:54:21
2023-12-06 18:30:35.591,2023-12-06 18:20:01.869,202.00,28.00,99.00,158.00,103.00,154.00,2023-12-06 18:19:57.355,826,28.718643188476562,27607,24.64447021484375,16151,2023-12-06 17:54:21
2023-12-06 18:30:35.783,2023-12-06 18:20:02.064,193.00,25.00,104.00,142.00,103.00,141.00,2023-12-06 18:19:57.355,826,28.718643188476562,27607,24.64447021484375,16151,2023-12-06 17:54:21
2023-12-06 18:30:35.977,2023-12-06 18:20:02.258,239.00,25.00,103.00,172.00,104.00,156.00,2023-12-06 18:19:57.355,826,28.718643188476562,27607,24.64447021484375,16151,2023-12-06 17:54:21
2023-12-06 18:30:36.170,2023-12-06 18:20:02.461,213.00,28.00,102.00,166.00,103.00,155.00,2023-12-06 18:20:02.365,826,28.772048950195312,27627,24.5574951171875,16094,2023-12-06 17:54:21
2023-12-06 18:30:36.364,2023-12-06 18:20:02.645,187.00,28.00,102.00,144.00,104.00,143.00,2023-12-06 18:20:02.365,826,28.772048950195312,27627,24.5574951171875,16094,2023-12-06 17:54:21
2023-12-06 18:30:36.557,2023-12-06 18:20:02.839,221.00,28.00,103.00,156.00,106.00,144.00,2023-12-06 18:20:02.365,826,28.772048950195312,27627,24.5574951171875,16094,2023-12-06 17:54:21
2023-12-06 18:30:36.751,2023-12-06 18:20:03.033,234.00,25.00,103.00,177.00,104.00,163.00,2023-12-06 18:20:02.365,826,28.772048950195312,27627,24.5574951171875,16094,2023-12-06 17:54:21
2023-12-06 18:30:36.944,2023-12-06 18:20:03.230,189.00,28.00,102.00,144.00,104.00,139.00,2023-12-06 18:20:02.365,826,28.772048950195312,27627,24.5574951171875,16094,2023-12-06 17:54:21
2023-12-06 18:30:49.516,2023-12-06 18:20:15.815,197.00,27.00,103.00,155.00,101.00,152.00,2023-12-06 18:20:07.375,826,28.758697509765625,27622,24.51934814453125,16069,2023-12-06 17:54:21
2023-12-06 18:30:49.709,2023-12-06 18:20:16.004,192.00,27.00,101.00,144.00,105.00,140.00,2023-12-06 18:20:12.385,825,28.788070678710938,27633,24.54833984375,16088,2023-12-06 17:54:21
2023-12-06 18:30:49.903,2023-12-06 18:20:16.188,236.00,28.00,102.00,171.00,103.00,155.00,2023-12-06 18:20:12.385,825,28.788070678710938,27633,24.54833984375,16088,2023-12-06 17:54:21
2023-12-06 18:30:54.546,2023-12-06 18:20:20.912,188.00,28.00,103.00,143.00,104.00,140.00,2023-12-06 18:20:17.395,825,28.772048950195312,27627,24.5361328125,16080,2023-12-06 17:54:21
