TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 22:12:23.715,2023-12-06 22:06:39.077,231.00,45.00,146.00,176.00,206.00,213.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:23.907,2023-12-06 22:06:39.269,288.00,47.00,147.00,214.00,203.00,231.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:24.101,2023-12-06 22:06:39.461,203.00,47.00,147.00,162.00,205.00,202.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:24.293,2023-12-06 22:06:39.656,232.00,46.00,148.00,178.00,204.00,213.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:24.487,2023-12-06 22:06:39.851,285.00,46.00,148.00,212.00,203.00,232.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:24.679,2023-12-06 22:06:40.042,208.00,45.00,145.00,163.00,205.00,203.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:24.872,2023-12-06 22:06:40.235,231.00,46.00,145.00,179.00,203.00,213.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:25.065,2023-12-06 22:06:40.436,280.00,46.00,148.00,210.00,205.00,231.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:25.258,2023-12-06 22:06:40.619,213.00,45.00,145.00,166.00,206.00,205.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:25.451,2023-12-06 22:06:40.813,234.00,47.00,147.00,178.00,204.00,211.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:25.644,2023-12-06 22:06:41.008,268.00,48.00,147.00,206.00,204.00,230.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:25.836,2023-12-06 22:06:41.200,218.00,45.00,146.00,168.00,206.00,207.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:26.030,2023-12-06 22:06:41.397,254.00,46.00,147.00,187.00,204.00,213.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:26.222,2023-12-06 22:06:41.587,247.00,45.00,148.00,194.00,204.00,224.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:26.416,2023-12-06 22:06:41.783,221.00,45.00,147.00,170.00,206.00,207.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:26.608,2023-12-06 22:06:41.973,272.00,47.00,147.00,199.00,205.00,221.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:26.801,2023-12-06 22:06:42.167,222.00,47.00,145.00,181.00,205.00,217.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:27.573,2023-12-06 22:06:42.941,231.00,47.00,147.00,177.00,205.00,213.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:27.766,2023-12-06 22:06:43.131,288.00,45.00,145.00,214.00,205.00,233.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:27.959,2023-12-06 22:06:43.327,205.00,45.00,147.00,163.00,205.00,203.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:28.152,2023-12-06 22:06:43.519,232.00,46.00,147.00,178.00,205.00,212.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:28.345,2023-12-06 22:06:43.732,284.00,46.00,148.00,212.00,206.00,231.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:28.538,2023-12-06 22:06:43.903,209.00,46.00,148.00,165.00,205.00,204.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:28.730,2023-12-06 22:06:44.099,231.00,46.00,148.00,177.00,203.00,213.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:28.924,2023-12-06 22:06:44.291,277.00,47.00,147.00,209.00,205.00,229.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:29.116,2023-12-06 22:06:44.482,215.00,46.00,148.00,166.00,206.00,206.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:29.310,2023-12-06 22:06:44.677,244.00,47.00,147.00,179.00,205.00,210.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:29.502,2023-12-06 22:06:44.872,260.00,44.00,146.00,202.00,205.00,227.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:29.695,2023-12-06 22:06:45.062,219.00,46.00,147.00,170.00,206.00,208.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:29.888,2023-12-06 22:06:45.256,264.00,46.00,148.00,193.00,205.00,218.00,2023-12-06 22:06:40.358,1621,24.846725463867188,26157,39.17083740234375,25671,2023-12-06 22:06:17
2023-12-06 22:12:30.081,2023-12-06 22:06:45.457,237.00,46.00,148.00,188.00,205.00,222.00,2023-12-06 22:06:45.371,1618,24.817352294921875,26146,39.35699462890625,25793,2023-12-06 22:06:17
2023-12-06 22:12:30.274,2023-12-06 22:06:45.642,225.00,46.00,147.00,172.00,205.00,211.00,2023-12-06 22:06:45.371,1618,24.817352294921875,26146,39.35699462890625,25793,2023-12-06 22:06:17
2023-12-06 22:12:30.467,2023-12-06 22:06:45.836,280.00,46.00,147.00,204.00,207.00,225.00,2023-12-06 22:06:45.371,1618,24.817352294921875,26146,39.35699462890625,25793,2023-12-06 22:06:17
2023-12-06 22:12:30.659,2023-12-06 22:06:46.031,214.00,46.00,148.00,172.00,206.00,213.00,2023-12-06 22:06:45.371,1618,24.817352294921875,26146,39.35699462890625,25793,2023-12-06 22:06:17
