TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 01:47:09.641,2023-12-06 01:11:34.572,195.00,47.00,135.00,170.00,190.00,203.00,2023-12-06 01:11:30.529,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:09.834,2023-12-06 01:11:34.766,217.00,48.00,138.00,168.00,191.00,198.00,2023-12-06 01:11:30.529,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:10.028,2023-12-06 01:11:34.963,283.00,46.00,135.00,203.00,189.00,213.00,2023-12-06 01:11:30.529,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:10.221,2023-12-06 01:11:35.161,226.00,47.00,140.00,188.00,190.00,214.00,2023-12-06 01:11:30.529,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:10.414,2023-12-06 01:11:35.348,212.00,46.00,138.00,165.00,187.00,197.00,2023-12-06 01:11:30.529,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:10.608,2023-12-06 01:11:35.548,260.00,47.00,138.00,186.00,190.00,203.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:10.801,2023-12-06 01:11:35.734,257.00,47.00,140.00,206.00,190.00,223.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:10.995,2023-12-06 01:11:35.930,204.00,46.00,138.00,162.00,190.00,194.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:11.188,2023-12-06 01:11:36.173,229.00,48.00,138.00,169.00,192.00,199.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:11.382,2023-12-06 01:11:36.336,282.00,48.00,140.00,215.00,190.00,227.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:11.575,2023-12-06 01:11:36.526,196.00,47.00,138.00,159.00,189.00,191.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:11.769,2023-12-06 01:11:36.721,223.00,47.00,138.00,171.00,189.00,201.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:11.962,2023-12-06 01:11:36.910,292.00,46.00,135.00,220.00,190.00,227.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:12.156,2023-12-06 01:11:37.109,190.00,46.00,135.00,155.00,190.00,190.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:12.349,2023-12-06 01:11:37.331,222.00,47.00,135.00,171.00,191.00,201.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:12.543,2023-12-06 01:11:37.509,300.00,47.00,136.00,220.00,191.00,229.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:12.736,2023-12-06 01:11:37.673,182.00,47.00,137.00,154.00,190.00,193.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:12.930,2023-12-06 01:11:37.866,221.00,47.00,135.00,171.00,191.00,202.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:13.124,2023-12-06 01:11:38.061,298.00,45.00,138.00,212.00,187.00,220.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:13.316,2023-12-06 01:11:38.255,200.00,48.00,140.00,173.00,189.00,204.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:13.510,2023-12-06 01:11:38.445,215.00,46.00,135.00,167.00,190.00,199.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:13.703,2023-12-06 01:11:38.675,280.00,49.00,135.00,199.00,190.00,209.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:13.897,2023-12-06 01:11:38.845,233.00,47.00,135.00,193.00,190.00,214.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:14.090,2023-12-06 01:11:39.028,207.00,46.00,135.00,163.00,187.00,195.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:14.284,2023-12-06 01:11:39.223,250.00,48.00,138.00,180.00,190.00,200.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:14.477,2023-12-06 01:11:39.418,262.00,46.00,138.00,208.00,190.00,222.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:14.671,2023-12-06 01:11:39.608,200.00,46.00,140.00,158.00,189.00,191.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:14.864,2023-12-06 01:11:39.846,224.00,46.00,138.00,171.00,189.00,200.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:15.058,2023-12-06 01:11:40.024,284.00,47.00,138.00,218.00,187.00,226.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:15.251,2023-12-06 01:11:40.190,195.00,48.00,138.00,156.00,191.00,190.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:15.445,2023-12-06 01:11:40.382,222.00,47.00,138.00,171.00,190.00,202.00,2023-12-06 01:11:35.540,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:15.638,2023-12-06 01:11:40.581,293.00,48.00,138.00,220.00,190.00,227.00,2023-12-06 01:11:40.551,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:15.832,2023-12-06 01:11:40.772,188.00,47.00,138.00,155.00,189.00,188.00,2023-12-06 01:11:40.551,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:57.621,2023-12-06 01:12:22.551,203.00,48.00,138.00,160.00,192.00,192.00,2023-12-06 01:11:45.561,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:57.815,2023-12-06 01:12:22.711,225.00,48.00,138.00,169.00,192.00,199.00,2023-12-06 01:11:50.571,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:58.009,2023-12-06 01:12:22.918,283.00,47.00,138.00,217.00,191.00,226.00,2023-12-06 01:11:55.581,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:58.202,2023-12-06 01:12:23.080,196.00,47.00,135.00,157.00,192.00,192.00,2023-12-06 01:12:00.589,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:58.396,2023-12-06 01:12:23.259,222.00,47.00,135.00,172.00,192.00,201.00,2023-12-06 01:12:05.596,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:58.589,2023-12-06 01:12:23.449,292.00,47.00,135.00,220.00,189.00,229.00,2023-12-06 01:12:10.618,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:58.783,2023-12-06 01:12:23.639,188.00,47.00,135.00,156.00,189.00,190.00,2023-12-06 01:12:15.628,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:58.976,2023-12-06 01:12:23.839,223.00,48.00,140.00,171.00,191.00,202.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:59.170,2023-12-06 01:12:24.064,301.00,48.00,140.00,222.00,189.00,228.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:59.363,2023-12-06 01:12:24.242,183.00,45.00,137.00,157.00,192.00,196.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:59.749,2023-12-06 01:12:24.664,294.00,46.00,135.00,211.00,191.00,219.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:47:59.943,2023-12-06 01:12:24.818,209.00,47.00,135.00,179.00,192.00,209.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:00.136,2023-12-06 01:12:24.996,213.00,48.00,139.00,165.00,191.00,198.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:00.330,2023-12-06 01:12:25.203,271.00,48.00,139.00,193.00,194.00,208.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:00.523,2023-12-06 01:12:25.407,244.00,47.00,136.00,198.00,189.00,220.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:00.717,2023-12-06 01:12:25.584,205.00,47.00,137.00,164.00,193.00,196.00,2023-12-06 01:12:20.638,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:00.911,2023-12-06 01:12:25.779,240.00,47.00,135.00,173.00,192.00,200.00,2023-12-06 01:12:25.648,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:01.104,2023-12-06 01:12:25.969,273.00,44.00,140.00,215.00,191.00,226.00,2023-12-06 01:12:25.648,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:01.298,2023-12-06 01:12:26.159,197.00,47.00,138.00,160.00,192.00,192.00,2023-12-06 01:12:25.648,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:01.491,2023-12-06 01:12:26.349,222.00,47.00,137.00,170.00,192.00,201.00,2023-12-06 01:12:25.648,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:01.685,2023-12-06 01:12:26.579,289.00,45.00,138.00,218.00,192.00,227.00,2023-12-06 01:12:25.648,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:01.878,2023-12-06 01:12:26.750,191.00,47.00,136.00,156.00,192.00,190.00,2023-12-06 01:12:25.648,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:02.072,2023-12-06 01:12:26.930,222.00,47.00,135.00,172.00,192.00,202.00,2023-12-06 01:12:25.648,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:02.265,2023-12-06 01:12:27.134,298.00,46.00,135.00,221.00,192.00,230.00,2023-12-06 01:12:25.648,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:14.841,2023-12-06 01:12:39.721,186.00,44.00,140.00,160.00,192.00,199.00,2023-12-06 01:12:30.659,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:15.034,2023-12-06 01:12:39.915,220.00,45.00,138.00,170.00,190.00,202.00,2023-12-06 01:12:35.669,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:31.866,2023-12-06 01:12:56.764,222.00,47.00,136.00,171.00,189.00,202.00,2023-12-06 01:12:40.678,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:32.060,2023-12-06 01:12:56.957,296.00,47.00,135.00,221.00,194.00,231.00,2023-12-06 01:12:45.688,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:48:32.253,2023-12-06 01:12:57.155,185.00,47.00,138.00,154.00,190.00,189.00,2023-12-06 01:12:50.697,0,0,0,0,0,2023-12-05 23:08:47
