TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 00:39:12.053,2023-12-06 00:03:32.986,273.00,41.00,136.00,212.00,167.00,208.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:12.247,2023-12-06 00:03:33.219,189.00,40.00,134.00,155.00,165.00,174.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:12.441,2023-12-06 00:03:33.412,215.00,37.00,134.00,167.00,164.00,184.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:12.634,2023-12-06 00:03:33.565,278.00,39.00,136.00,214.00,163.00,209.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:12.828,2023-12-06 00:03:33.747,188.00,42.00,134.00,155.00,165.00,174.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:13.020,2023-12-06 00:03:33.943,214.00,42.00,131.00,168.00,167.00,183.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:13.214,2023-12-06 00:03:34.133,281.00,40.00,134.00,215.00,168.00,210.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:13.407,2023-12-06 00:03:34.333,184.00,39.00,133.00,153.00,168.00,174.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:13.601,2023-12-06 00:03:34.548,214.00,39.00,136.00,167.00,164.00,183.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:13.794,2023-12-06 00:03:34.715,285.00,40.00,133.00,216.00,167.00,210.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:13.988,2023-12-06 00:03:34.909,182.00,39.00,136.00,151.00,165.00,174.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:14.181,2023-12-06 00:03:35.105,216.00,42.00,130.00,168.00,165.00,184.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:14.375,2023-12-06 00:03:35.296,288.00,42.00,131.00,217.00,167.00,211.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:39:14.568,2023-12-06 00:03:35.491,180.00,39.00,133.00,150.00,165.00,172.00,2023-12-06 00:03:32.026,0,0,0,0,0,2023-12-05 23:08:47
