TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 02:02:22.452,2023-12-06 01:26:48.293,196.00,47.00,140.00,156.00,196.00,192.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:22.645,2023-12-06 01:26:48.483,222.00,46.00,140.00,170.00,197.00,203.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:22.840,2023-12-06 01:26:48.722,302.00,47.00,138.00,222.00,196.00,229.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:23.034,2023-12-06 01:26:48.803,195.00,48.00,139.00,168.00,195.00,205.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:23.227,2023-12-06 01:26:48.977,216.00,50.00,137.00,168.00,196.00,202.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:23.422,2023-12-06 01:26:49.172,258.00,47.00,138.00,184.00,195.00,207.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:23.615,2023-12-06 01:26:49.368,271.00,47.00,137.00,213.00,195.00,228.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:23.810,2023-12-06 01:26:49.555,197.00,47.00,137.00,159.00,195.00,195.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:24.003,2023-12-06 01:26:49.767,224.00,47.00,138.00,171.00,194.00,204.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:24.586,2023-12-06 01:26:50.423,219.00,48.00,140.00,168.00,196.00,203.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:24.779,2023-12-06 01:26:50.614,264.00,47.00,137.00,186.00,192.00,207.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:24.974,2023-12-06 01:26:50.809,267.00,48.00,137.00,212.00,195.00,227.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:25.168,2023-12-06 01:26:51.018,199.00,48.00,139.00,160.00,196.00,195.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:25.362,2023-12-06 01:26:51.222,223.00,47.00,138.00,172.00,193.00,204.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:25.556,2023-12-06 01:26:51.394,301.00,45.00,139.00,222.00,196.00,232.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:25.750,2023-12-06 01:26:51.585,191.00,47.00,137.00,165.00,196.00,204.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:25.944,2023-12-06 01:26:51.781,219.00,47.00,138.00,171.00,193.00,203.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:26.138,2023-12-06 01:26:51.974,265.00,48.00,140.00,190.00,193.00,209.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:26.332,2023-12-06 01:26:52.171,266.00,48.00,140.00,210.00,195.00,227.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:26.525,2023-12-06 01:26:52.398,199.00,48.00,140.00,161.00,196.00,194.00,2023-12-06 01:26:47.421,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:26.720,2023-12-06 01:26:52.571,223.00,45.00,140.00,171.00,196.00,203.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:26.913,2023-12-06 01:26:52.753,300.00,47.00,137.00,222.00,196.00,233.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:27.108,2023-12-06 01:26:52.947,187.00,48.00,140.00,162.00,196.00,202.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:27.302,2023-12-06 01:26:53.140,219.00,49.00,139.00,169.00,195.00,203.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:27.496,2023-12-06 01:26:53.334,268.00,46.00,138.00,190.00,194.00,210.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:27.690,2023-12-06 01:26:53.574,263.00,47.00,137.00,209.00,196.00,225.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:27.884,2023-12-06 01:26:53.746,199.00,45.00,140.00,161.00,196.00,195.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:28.078,2023-12-06 01:26:53.916,224.00,48.00,139.00,172.00,196.00,203.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:28.854,2023-12-06 01:26:54.709,271.00,48.00,140.00,191.00,196.00,210.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:29.049,2023-12-06 01:26:54.913,261.00,48.00,140.00,207.00,196.00,224.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:29.242,2023-12-06 01:26:55.083,199.00,47.00,137.00,160.00,196.00,194.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:29.437,2023-12-06 01:26:55.275,223.00,48.00,140.00,172.00,196.00,203.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:29.630,2023-12-06 01:26:55.469,299.00,45.00,139.00,222.00,196.00,231.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:29.824,2023-12-06 01:26:55.663,184.00,47.00,139.00,161.00,195.00,200.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:30.018,2023-12-06 01:26:55.858,222.00,47.00,137.00,171.00,196.00,204.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:30.212,2023-12-06 01:26:56.083,274.00,48.00,140.00,195.00,193.00,212.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:30.406,2023-12-06 01:26:56.253,257.00,48.00,140.00,207.00,193.00,224.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:30.600,2023-12-06 01:26:56.443,201.00,48.00,140.00,161.00,196.00,195.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:30.794,2023-12-06 01:26:56.634,223.00,47.00,138.00,172.00,193.00,204.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:30.988,2023-12-06 01:26:56.830,297.00,50.00,137.00,222.00,195.00,232.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:31.183,2023-12-06 01:26:57.024,183.00,48.00,137.00,158.00,195.00,200.00,2023-12-06 01:26:52.431,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:43.793,2023-12-06 01:27:09.557,251.00,47.00,137.00,180.00,196.00,204.00,2023-12-06 01:26:57.440,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:43.988,2023-12-06 01:27:09.733,278.00,48.00,140.00,215.00,193.00,228.00,2023-12-06 01:27:02.471,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:44.181,2023-12-06 01:27:09.909,194.00,48.00,140.00,159.00,195.00,194.00,2023-12-06 01:27:07.481,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:48.837,2023-12-06 01:27:14.692,220.00,47.00,138.00,183.00,193.00,214.00,2023-12-06 01:27:12.491,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:49.032,2023-12-06 01:27:14.851,210.00,45.00,140.00,165.00,196.00,199.00,2023-12-06 01:27:12.491,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:49.225,2023-12-06 01:27:15.010,233.00,47.00,137.00,171.00,193.00,202.00,2023-12-06 01:27:12.491,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:49.613,2023-12-06 01:27:15.473,190.00,50.00,136.00,156.00,193.00,192.00,2023-12-06 01:27:12.491,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:49.808,2023-12-06 01:27:15.709,222.00,50.00,137.00,172.00,195.00,205.00,2023-12-06 01:27:12.491,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:50.002,2023-12-06 01:27:15.882,295.00,45.00,140.00,211.00,194.00,222.00,2023-12-06 01:27:12.491,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:50.196,2023-12-06 01:27:16.055,223.00,47.00,137.00,188.00,196.00,214.00,2023-12-06 01:27:12.491,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:02:50.390,2023-12-06 01:27:16.254,208.00,48.00,138.00,166.00,193.00,199.00,2023-12-06 01:27:12.491,0,0,0,0,0,2023-12-05 23:08:47
