TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 02:14:34.466,2023-12-06 01:39:00.906,294.00,48.00,142.00,222.00,203.00,237.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:34.661,2023-12-06 01:39:01.101,192.00,50.00,140.00,156.00,205.00,198.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:34.855,2023-12-06 01:39:01.328,225.00,52.00,142.00,174.00,204.00,211.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:35.048,2023-12-06 01:39:01.504,293.00,49.00,144.00,209.00,205.00,226.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:35.243,2023-12-06 01:39:01.679,238.00,52.00,142.00,196.00,203.00,226.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:35.436,2023-12-06 01:39:01.869,210.00,50.00,139.00,165.00,205.00,204.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:35.631,2023-12-06 01:39:02.072,228.00,52.00,142.00,174.00,203.00,211.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:35.824,2023-12-06 01:39:02.266,296.00,51.00,139.00,223.00,205.00,238.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:36.019,2023-12-06 01:39:02.476,189.00,50.00,143.00,155.00,203.00,198.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 02:14:36.212,2023-12-06 01:39:02.841,225.00,49.00,143.00,175.00,11151294,288.00,2023-12-06 01:38:58.971,0,0,0,0,0,2023-12-05 23:08:47
