TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 01:33:13.647,2023-12-06 00:57:37.754,286.00,43.00,136.00,218.00,179.00,222.00,2023-12-06 00:57:33.801,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:13.841,2023-12-06 00:57:37.950,189.00,45.00,135.00,154.00,182.00,183.00,2023-12-06 00:57:33.801,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:14.034,2023-12-06 00:57:38.193,219.00,45.00,135.00,170.00,183.00,195.00,2023-12-06 00:57:33.801,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:14.228,2023-12-06 00:57:38.361,295.00,43.00,136.00,219.00,180.00,223.00,2023-12-06 00:57:33.801,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:14.421,2023-12-06 00:57:38.532,182.00,43.00,136.00,151.00,180.00,183.00,2023-12-06 00:57:33.801,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:14.615,2023-12-06 00:57:38.724,218.00,46.00,133.00,170.00,183.00,195.00,2023-12-06 00:57:33.801,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:14.809,2023-12-06 00:57:38.921,298.00,45.00,135.00,213.00,181.00,214.00,2023-12-06 00:57:38.811,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:15.001,2023-12-06 00:57:39.113,195.00,45.00,136.00,168.00,182.00,198.00,2023-12-06 00:57:38.811,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:15.195,2023-12-06 00:57:39.321,214.00,43.00,133.00,167.00,181.00,193.00,2023-12-06 00:57:38.811,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:40.346,2023-12-06 00:58:04.371,182.00,43.00,134.00,151.00,181.00,184.00,2023-12-06 00:57:43.820,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:40.540,2023-12-06 00:58:04.549,218.00,46.00,135.00,170.00,182.00,196.00,2023-12-06 00:57:48.829,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:40.733,2023-12-06 00:58:04.752,299.00,42.00,135.00,214.00,182.00,215.00,2023-12-06 00:57:53.840,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:40.927,2023-12-06 00:58:04.939,191.00,44.00,136.00,167.00,182.00,195.00,2023-12-06 00:57:58.850,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 01:33:41.120,2023-12-06 00:58:05.154,215.00,43.00,136.00,168.00,182.00,192.00,2023-12-06 00:58:03.860,0,0,0,0,0,2023-12-05 23:08:47
