TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 00:54:42.255,2023-12-06 00:19:03.972,264.00,44.00,138.00,189.00,180.00,198.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:42.449,2023-12-06 00:19:04.160,246.00,44.00,138.00,201.00,180.00,212.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:42.642,2023-12-06 00:19:04.376,204.00,44.00,135.00,161.00,179.00,188.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:42.836,2023-12-06 00:19:04.561,230.00,44.00,135.00,169.00,180.00,190.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:43.029,2023-12-06 00:19:04.739,275.00,41.00,136.00,216.00,180.00,218.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:43.223,2023-12-06 00:19:04.929,196.00,44.00,135.00,159.00,178.00,183.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:43.416,2023-12-06 00:19:05.129,221.00,43.00,137.00,170.00,180.00,192.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:43.610,2023-12-06 00:19:05.319,288.00,44.00,137.00,217.00,180.00,220.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:43.803,2023-12-06 00:19:05.550,188.00,43.00,135.00,155.00,180.00,181.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:43.996,2023-12-06 00:19:05.717,219.00,44.00,137.00,170.00,180.00,193.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:44.189,2023-12-06 00:19:05.899,295.00,41.00,137.00,221.00,180.00,221.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:44.383,2023-12-06 00:19:06.089,180.00,44.00,136.00,154.00,178.00,187.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:44.576,2023-12-06 00:19:06.293,220.00,43.00,135.00,171.00,177.00,195.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:44.770,2023-12-06 00:19:06.479,294.00,41.00,137.00,209.00,180.00,211.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:44.964,2023-12-06 00:19:06.696,203.00,44.00,138.00,175.00,177.00,200.00,2023-12-06 00:19:03.960,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:57.733,2023-12-06 00:19:19.472,284.00,44.00,136.00,204.00,178.00,207.00,2023-12-06 00:19:08.969,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:54:57.926,2023-12-06 00:19:19.646,214.00,44.00,135.00,183.00,177.00,203.00,2023-12-06 00:19:13.979,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:55:14.758,2023-12-06 00:19:36.596,203.00,42.00,135.00,161.00,178.00,184.00,2023-12-06 00:19:18.989,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:55:14.951,2023-12-06 00:19:36.755,232.00,44.00,133.00,170.00,175.00,188.00,2023-12-06 00:19:24.000,0,0,0,0,0,2023-12-05 23:08:47
2023-12-06 00:55:15.145,2023-12-06 00:19:36.924,272.00,44.00,133.00,213.00,175.00,215.00,2023-12-06 00:19:29.010,0,0,0,0,0,2023-12-05 23:08:47
